"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 30/10/2018";
"Período Solicitado de 01/09/2018 até 30/10/2018";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Qualidade";"Origem";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;2;0,000;1.633,071;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;3;0,000;1.628,615;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;4;0,000;1.625,575;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;5;0,000;1.622,147;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;6;0,000;1.617,180;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;7;0,000;1.424,919;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;8;0,000;1.124,267;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;9;0,000;1.630,599;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;10;3,965;1.143,799;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;11;0,000;1.770,752;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;12;0,000;1.758,782;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;13;0,000;1.748,473;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;14;0,000;1.743,016;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;15;0,000;1.739,250;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;16;0,000;1.736,061;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;17;0,000;1.733,662;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;18;0,000;1.733,007;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;19;0,000;1.732,073;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;20;0,000;1.722,160;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;21;0,000;1.721,682;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;22;0,000;1.714,427;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;23;0,000;1.702,273;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";03/09/2018;24;0,000;1.692,470;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;1;0,000;1.689,075;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;2;0,000;1.688,080;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;3;0,000;1.658,829;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;4;0,000;1.592,909;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;5;0,000;1.208,962;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;6;0,000;1.079,015;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;7;0,000;953,630;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;8;0,000;807,437;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;9;0,000;554,072;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;10;0,000;1.649,759;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;11;0,000;1.649,797;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;12;0,000;1.649,794;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;13;0,000;1.650,260;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;14;0,000;1.650,059;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;15;0,000;1.650,273;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;16;0,000;1.650,493;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;17;0,000;1.650,011;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;18;0,000;1.650,046;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;19;0,000;1.650,008;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;20;0,000;1.650,261;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;21;0,000;1.649,881;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;22;0,000;1.649,528;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;23;0,000;1.649,967;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";04/09/2018;24;0,000;1.649,985;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;1;0,000;1.650,073;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;2;0,000;1.649,955;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;3;0,000;1.650,118;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;4;0,000;1.649,717;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;5;0,000;1.649,005;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;6;0,000;1.649,657;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;7;0,000;1.649,924;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;8;0,000;1.649,800;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;9;0,000;1.649,721;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;10;0,000;1.649,810;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;11;2,580;1.289,453;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;12;7,102;519,548;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;13;0,000;2.134,401;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;14;0,000;2.134,621;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;15;0,000;2.046,948;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;16;0,000;1.861,294;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;17;0,000;1.011,898;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;18;0,000;1.928,124;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;19;0,000;1.939,071;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;20;0,000;1.511,476;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;21;0,000;1.940,637;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;22;0,000;1.940,297;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;23;0,000;1.927,180;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";05/09/2018;24;0,000;1.837,454;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;1;0,000;1.775,966;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;2;0,000;1.737,017;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;3;0,000;1.691,967;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;4;0,000;1.651,881;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;5;0,000;1.536,370;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;6;0,000;1.376,372;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;7;0,000;1.256,576;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;8;0,000;1.551,817;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;9;0,000;1.125,843;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;10;0,000;1.238,804;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;11;0,000;1.674,730;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;12;0,000;1.464,228;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;13;0,000;1.330,643;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;14;0,000;1.288,476;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;15;0,000;1.240,716;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;16;0,000;1.188,979;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;17;0,000;1.144,847;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;18;0,000;1.118,070;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;19;0,000;1.152,802;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;20;0,000;1.152,809;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;21;0,000;1.152,920;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;22;0,000;1.152,659;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;23;0,000;1.152,406;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";06/09/2018;24;0,000;1.152,226;"Completo";"COLETA DIÁRIA";
