M¢dulo de An lise: Origem de Dados da Coleta;;;;;;;
Data de solicita‡Æo 09/11/2018;;;;;;;
Per¡odo Solicitado de 01/07/2018 at‚ 01/07/2018;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Qualidade;Origem
RONDINHA;SCINVDUINVD01 (L);01/07/2018;1;0;1.206,93;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;2;0;1.212,17;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;3;0;1.210,93;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;4;0;1.206,92;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;5;0;1.211,53;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;6;0;1.212,95;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;7;0;1.208,68;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;8;0;1.211,28;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;9;0;1.214,38;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;10;0;1.210,61;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;11;0;1.208,78;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;12;0;1.217,30;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;13;0;1.213,56;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;14;0;1.210,46;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;15;0;1.213,92;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;16;0;1.213,44;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;17;0;1.207,77;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;18;0;1.211,40;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;19;0;1.210,05;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;20;0;1.204,92;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;21;0;1.212,92;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;22;0;1.208,89;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;23;0;1.204,40;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;24;0;1.212,11;Completo;COLETA DIµRIA
